rank,trial,n_seeds,mean,std,sem,ci_lo,ci_hi,sweep_value,per_seed
1,33,5,1726.5189,640.2296,286.3194,1388.1476,2299.1754,2887.9100,1312.7078;1455.9393;2861.3329;1447.0872;1555.5273
2,79,5,1623.5032,204.1558,91.3012,1473.8683,1786.3553,3093.9000,1463.5883;1484.7661;1478.6995;1809.1546;1881.3074
3,27,5,1465.4051,78.3458,35.0373,1408.5162,1530.7711,2138.7800,1585.1749;1443.8777;1399.7092;1498.6215;1399.6425
