ns_a,ns_b,mean_a_minus_b,t_stat,p_raw,p_holm
256,512,-8.295343253307301,-0.23373936718749166,0.8274408302304853,1.0
256,1024,-2.3482905029834598,-0.06089670154109441,0.9547600446729354,1.0
512,1024,5.9470527503238415,0.1392448368287202,0.8960855689014446,1.0
