num_steps,n_episodes,n_final_window,final_mean,final_sem,auc,best_episode
256,279,13,68.3404769897461,34.51678878816768,-7.344130698883749,229.0100860595703
512,356,8,62.8119010925293,18.277917038340316,-70.85103778113323,178.5758514404297
1024,508,11,-27.900221304460004,24.81215312490523,-92.66656588185857,161.1465301513672
2048,865,44,-58.698749935085125,10.175040928463146,-132.7369897805252,72.03252410888672
