rank,trial,n_seeds,mean,std,sem,ci_lo,ci_hi,sweep_value,per_seed
1,0,5,-209.8193,14.7415,6.5926,-221.3425,-198.2960,-171.5510,-209.6905;-195.1797;-195.7150;-219.8302;-228.6809
2,17,5,-226.7702,27.7686,12.4185,-246.5837,-202.8525,-390.3451,-212.0179;-247.9604;-184.7800;-241.1880;-247.9048
3,18,5,-365.7632,267.3519,119.5634,-603.0511,-201.3262,-237.6634,-202.8488;-823.9952;-171.1158;-372.1545;-258.7020
