lr_a,lr_b,mean_a_minus_b,t_stat,p_raw,p_holm
1e-4,3e-4,-60.09233364049562,-4.488555892855366,0.014056665070331065,0.0843399904219864
1e-4,1e-3,-72.06745465323881,-1.1457962326265885,0.36751698303044145,1.0
1e-4,3e-3,-148.9536609632991,-5.618921545478858,0.020507825943445124,0.10253912971722562
3e-4,1e-3,-11.975121012743191,-0.1889264448610967,0.8666804808259505,1.0
3e-4,3e-3,-88.86132732280348,-3.214160558782184,0.05586091664667767,0.2234436665867107
1e-3,3e-3,-76.88620631006029,-1.1409436456278668,0.3466486917756499,1.0
