lr,seed,final_mean_return
1e-4,1,-97.2255
1e-4,2,-105.1292
1e-4,3,-79.2117
3e-4,1,-52.0794
3e-4,2,-35.0763
3e-4,3,-14.1338
1e-3,1,-120.7770
1e-3,2,-38.1923
1e-3,3,93.6052
3e-3,1,9.0003
3e-3,2,59.7618
3e-3,3,96.5325
